2024-04-04 15:10:45: == 同步开始由 User Command
2024-04-04 15:10:46: Start only 2 threads, limited by tasks to run
2024-04-04 15:10:46: ConnectCloned connected to file:///~Administrator/Documents/Logseq
2024-04-04 15:10:46: ConnectCloned connected to file:///~Administrator/Documents/Logseq
2024-04-04 15:10:46: GsConnectAndSetRoot1 connected to http://192.168.31.204:5244/dav/Ali/Logseq
2024-04-04 15:10:46: GsConnectAndSetRoot1 connected to http://192.168.31.204:5244/dav/Ali/Logseq
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/.github/workflows/publish.yml 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/.github/workflows/publish.yml
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/261a3ef66b036519fb9d01935edeef7b.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/261a3ef66b036519fb9d01935edeef7b.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/39d998861b67a559fe94caa5f5f91c48.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/39d998861b67a559fe94caa5f5f91c48.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/Cache_3dc27d77de3aca4d._1711290020621_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/Cache_3dc27d77de3aca4d._1711290020621_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1706869463582_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1706869463582_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1708508037965_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1708508037965_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1708508533012_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1708508533012_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1708509516035_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1708509516035_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1708509610790_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1708509610790_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/image_1708679373585_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/image_1708679373585_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/SAVE_20240310_111843_1710040781985_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/SAVE_20240310_111843_1710040781985_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/SAVE_20240310_111848_1710040768611_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/SAVE_20240310_111848_1710040768611_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/SAVE_20240317_111239_1710645221085_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/SAVE_20240317_111239_1710645221085_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/杨士奇传_1697366026909_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/杨士奇传_1697366026909_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/秋来时,_小雨中_1696230798629_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/秋来时,_小雨中_1696230798629_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/管晏列传_1697366078187_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/管晏列传_1697366078187_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/语文默写？究竟背多少篇！古诗文背诵？篇目梳理！【语文大合集03】_-_默写篇目_@00-39.29_1706629112672_1706841864202_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/语文默写？究竟背多少篇！古诗文背诵？篇目梳理！【语文大合集03】_-_默写篇目_@00-39.29_1706629112672_1706841864202_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/语文默写？究竟背多少篇！古诗文背诵？篇目梳理！【语文大合集03】_-_默写篇目_@00-43.63_1706629118051_1706841864203_1.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/语文默写？究竟背多少篇！古诗文背诵？篇目梳理！【语文大合集03】_-_默写篇目_@00-43.63_1706629118051_1706841864203_1.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/assets/陶渊明传_1697366050181_0.jpg 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/assets/陶渊明传_1697366050181_0.jpg
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_02.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_02.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_03.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_03.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_06.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_06.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_08.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_08.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_15.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_15.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_10_29.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_10_29.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_11_10.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_11_10.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_11_11.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_11_11.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_11_12.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_11_12.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_12_01.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_12_01.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_12_02.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_12_02.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_12_17.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_12_17.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_12_29.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_12_29.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2023_12_31.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2023_12_31.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_01_06.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_01_06.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_01_07.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_01_07.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_01_29.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_01_29.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_01.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_01.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_02.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_02.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_12.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_12.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_13.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_13.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_14.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_14.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_15.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_15.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_16.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_16.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_19.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_19.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_20.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_20.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_21.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_21.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_22.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_22.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_23.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_23.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_02_29.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_02_29.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_01.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_01.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_03.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_03.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_10.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_10.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_11.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_11.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_12.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_12.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_14.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_14.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_17.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_17.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_23.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_23.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_24.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_24.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_30.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_30.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_03_31.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_03_31.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/2024_04_01.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/2024_04_01.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/84fbd7f4ef77c74f593ce3a6865edfc0.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/84fbd7f4ef77c74f593ce3a6865edfc0.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/journals/d0020eb41e25272600f2129d278be530.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/journals/d0020eb41e25272600f2129d278be530.md
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/logseq/.recycle/assets_image_1708509505651_0.png 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/logseq/.recycle/assets_image_1708509505651_0.png
2024-04-04 15:10:46: 复制 C:/Users/Administrator/Documents/Logseq/logseq/.recycle/journals_2023_12_10.md 的文件修改时间到 http://192.168.31.204:5244/dav/Ali/Logseq/logseq/.recycle/journals_2023_12_10.md
